id,text,associated_user,lang,time_zone,geolocation,recorded_at,occurred_at
32,RT @SkyNews: MAIL FRONT PAGE 'JCB tycoon quits anti-Brexit CBI' #skypapers https://t.co/Sqj2eocSuo,89869801,fr,,,2016-10-10 22:10:41.207799,2016-10-10 22:10:41
33,RT @mvanhulten: Liam Fox seems to think the Norway option (EFTA/EEA membership) means doing a  bilateral trade deal with Norway.… ,316797199,en,,,2016-10-10 22:10:41.805877,2016-10-10 22:10:41
34,"RT @jbralston: As an American living in the U.K., drinks with colleagues from across Europe means explaining both #Trump2016 and #Brexit #n…",783798493022457856,en,,,2016-10-10 22:10:41.96019,2016-10-10 22:10:41
35,"RT @KevinMPMcNamara: Sorry Leavers but even if Brexit means Brexit, Parliament remains Parliament",20913661,en,London,,2016-10-10 22:10:44.144907,2016-10-10 22:10:43
36,"RT @_PaulMonaghan: ""The Scottish Parliament will likely pass a bill vetoing passage of a pro-Brexit law through the House of Commons""
https…",56137748,en,Edinburgh,,2016-10-10 22:10:44.473057,2016-10-10 22:10:44
37,"RT @Truly_Defective: But at least we won't have to see Polish people at work, eh? 🙄 

Fuck me, this country deserves to be destroyed at… ",279806936,en,Beijing,,2016-10-10 22:10:44.867288,2016-10-10 22:10:44
38,"RT @PeteDomican: If you're going to destroy an economy, David Davis is the man to do it. https://t.co/WNXpoxPlVm",2785418944,en,,,2016-10-10 22:10:45.602788,2016-10-10 22:10:45
39,RT @DouglasCarswell: Remain supporters are using the same underlying projections to rerun a debate they lost under the guise of staying… ,1545689414,en,London,,2016-10-10 22:10:47.40515,2016-10-10 22:10:47
40,RT @MrFurby: Liam Fox approached Norway on a new free trade deal - Norway said no. https://t.co/6hXjrVHThh #Brexit https://t.co/N0hdyCFQzu,2856875608,en,,,2016-10-10 22:10:48.105621,2016-10-10 22:10:47
41,RT @SamCoatesTimes: Tonight's Times p1 reveals a leak of part of cabinet discussion paper on what would happen to the economy of Brexit… ,1439661253,en,Amsterdam,,2016-10-10 22:10:48.979219,2016-10-10 22:10:48
42,RT @twlldun: Maybe time to start panicking. https://t.co/dPPgP98wPN,120543188,en,,,2016-10-10 22:10:49.633674,2016-10-10 22:10:49
43,RT @martindvz: ‘BrExit is’: STEALING EU CITIZENSHIP FROM THE MAJORITY OF BRITONS BASED ON A VOTE BY A SMALL MINORITY #Brexit… ,752139209528504321,en,,,2016-10-10 22:10:50.643813,2016-10-10 22:10:50
44,RT @Humanist_NI: And am I right in thinking the North - South Brexit talks were rejected by DUP? Ae we left out in the cold? https://t.co/Y…,2344483209,en,London,,2016-10-10 22:10:51.605068,2016-10-10 22:10:51
45,"RT @JamesMelville: The pound is worth less than the euro.
But at least we got our country back. 
At least we have a plan for Brexit.
And I…",187211434,en,Eastern Time (US & Canada),,2016-10-10 22:10:52.383959,2016-10-10 22:10:52
46,RT @SarahLudford: .@nick_clegg asks what constit principle allows PM to arrogate to self exclus right to interpret what Brexit means  https…,7001342,en,Eastern Time (US & Canada),,2016-10-10 22:10:52.510495,2016-10-10 22:10:52
47,RT @champagne_lefty: Never forget - this was Britain. #Brexit #CableStreet80 #ToryReich https://t.co/GcmddJmyBz,330586611,en,,,2016-10-10 22:10:52.52189,2016-10-10 22:10:52
48,"RT @AlbertoNardelli: Unsurprisingly, Hannan is wrong. EU has an FTA with Chile, there are currently no tarrifs on Chilean wine… ",1552831,en,London,,2016-10-10 22:10:52.884176,2016-10-10 22:10:52
49,RT @Open_Britain: .@Anna_Soubry on the horrific damage of a hard #Brexit &amp; why Parliament must be involved https://t.co/EgTc2s9UK8 https://…,36748320,en,London,,2016-10-10 22:10:54.065565,2016-10-10 22:10:53
50,RT @Open_Britain: .@Anna_Soubry on the horrific damage of a hard #Brexit &amp; why Parliament must be involved https://t.co/EgTc2s9UK8 https://…,45160426,en,Lisbon,,2016-10-10 22:10:54.563403,2016-10-10 22:10:54
51,"RT @HuwGruffydd: Remainers, so happy with EU control, are suddenly talking about parliamentary sovereignty! https://t.co/mzbU7Uh3BA https:/…",269494665,en,,,2016-10-10 22:10:55.414289,2016-10-10 22:10:55
52,"RT @SkyNews: Recent fears over the plunging value of the pound post #Brexit are ""over the top"" says a former Bank of England boss https://t…",1226445404,en,,,2016-10-10 22:10:55.734367,2016-10-10 22:10:55
53,"RT @suttonnick: Tuesday's Daily Mail:
JCB tycoon quits anti-Brexit CBI
#tomorrowspaperstoday #bbcpapers https://t.co/6XRqFR5iKg",17836555,en,,,2016-10-10 22:10:57.900671,2016-10-10 22:10:57
54,"RT @ChaabanRabih: Maybe Theresa May is hiding #Brexit plans because there are no plans??
-Complete chaos!  #newsnight",301850119,en,London,,2016-10-10 22:10:58.090677,2016-10-10 22:10:57
55,RT @bernerlap: Ooh remoaners looking forward to peoplelosing their jobs.Nasty liberal elitist who hate working class patriots. The… ,769854484679917572,en,,,2016-10-10 22:10:58.824245,2016-10-10 22:10:58
56,"RT @Mudjokivis: PJ O'Rourke: [Clinton is] wrong about absolutely everything, but she’s wrong within normal parameters.”https://t.co/0ZBsCTQ…",111028643,en,London,,2016-10-10 22:10:59.378918,2016-10-10 22:10:59
57,RT @DaftLimmy: A hard brexit right up the shiter.,40334265,en,London,,2016-10-10 22:11:00.375557,2016-10-10 22:11:00
58,RT @Independent: Goldman Sachs could move 2000 London jobs in the event of hard Brexit https://t.co/U27LFMIPeW,1073855622,en,,,2016-10-10 22:11:01.318062,2016-10-10 22:11:01
59,RT @SamCoatesTimes: Tonight's Times p1 reveals a leak of part of cabinet discussion paper on what would happen to the economy of Brexit… ,28967024,en,Dublin,,2016-10-10 22:20:20.262067,2016-10-10 22:20:20
60,RT @MrFurby: Liam Fox approached Norway on a new free trade deal - Norway said no. https://t.co/6hXjrVHThh #Brexit https://t.co/N0hdyCFQzu,56137748,en,Edinburgh,,2016-10-10 22:20:22.947943,2016-10-10 22:20:22
61,RT @larry_kudlow: Theresa May’s Abbanomics and Brexit’s new class war https://t.co/C2KKD0qmSI via @BostonGlobe,254803029,en,,,2016-10-10 22:20:24.500053,2016-10-10 22:20:24
62,"RT @ChaabanRabih: Maybe Theresa May is hiding #Brexit plans because there are no plans??
-Complete chaos!  #newsnight",3091107318,en,,,2016-10-10 22:20:25.476622,2016-10-10 22:20:25
63,RT @Holger_Nehring: Going well so far. Btw: still anyone interested in doing business with 'A Japanese importer' 'looking for UK seawee… ,555299478,en,London,,2016-10-10 22:20:26.20396,2016-10-10 22:20:25
64,RT @SamCoatesTimes: Tonight's Times p1 reveals a leak of part of cabinet discussion paper on what would happen to the economy of Brexit… ,20231111,en,London,,2016-10-10 22:20:26.345842,2016-10-10 22:20:26
65,RT @TonyCowards: Good news! Thanks to #Brexit you can now get your Euros at Poundland.,131151891,en,Europe/London,,2016-10-10 22:20:26.481078,2016-10-10 22:20:26
66,"RT @13sarahmurphy: Davis,IDS et al...take note - to exclude parliament in name of democracy is 'as intellectually deficient as it is c… ",2872987265,en,,,2016-10-10 22:20:27.296372,2016-10-10 22:20:27
67,RT @guardiannews: Ireland confirms talks under way over post-Brexit border controls https://t.co/rW0GV6cY1s,389719440,en,Dublin,,2016-10-10 22:20:27.697482,2016-10-10 22:20:27
68,RT @SamCoatesTimes: Tonight's Times p1 reveals a leak of part of cabinet discussion paper on what would happen to the economy of Brexit… ,68382383,en,,,2016-10-10 22:20:28.893372,2016-10-10 22:20:28
69,"RT @amazinganwar: TRUMP IS GOING TO WIN BECAUSE BREXIT, IF ONLY WE WE HAD THE EURO https://t.co/h4RulnsiPN",426902926,en,,,2016-10-10 22:20:30.423609,2016-10-10 22:20:30
70,RT @guardian: Ireland confirms talks under way over post-Brexit border controls https://t.co/ySjcfupkqk,76542496,en,Brasilia,,2016-10-10 22:20:32.655704,2016-10-10 22:20:32
71,RT @SamCoatesTimes: Tonight's Times p1 reveals a leak of part of cabinet discussion paper on what would happen to the economy of Brexit… ,246833006,en,London,,2016-10-10 22:20:35.285077,2016-10-10 22:20:35
72,RT @acgrayling: So even Leavers want a Parliamentary debate. Good. https://t.co/nQqPwzro6Y,3740873715,en,Pacific Time (US & Canada),,2016-10-10 22:20:35.752933,2016-10-10 22:20:35
73,"RT @theordinaryman2: It's been suggested that UK should keep"" Free Movement of People"" from EU ?

RT if you disagree

#Brexit #No2EU https:…",732681877522423808,en,Edinburgh,,2016-10-10 22:20:36.090591,2016-10-10 22:20:35
74,RT @SamCoatesTimes: Tonight's Times p1 reveals a leak of part of cabinet discussion paper on what would happen to the economy of Brexit… ,531698851,en,London,,2016-10-10 22:20:36.194089,2016-10-10 22:20:35
75,"RT @JamesMelville: To celebrate Brexit, Britain is producing a new pound coin. https://t.co/x9xgIq5BkS",1589053279,en,,,2016-10-10 22:20:36.751555,2016-10-10 22:20:36
76,RT @tshep42: @DavidLammy David you have been inspirational over Brexit! We are slowly winning this argument now! Keep going! https://t.co/v…,4118427075,en,London,,2016-10-10 22:20:36.976516,2016-10-10 22:20:36
77,RT @deletedbyMPs: DT Anna Soubry MP: RT Open Britain Press: The horrific damage of a hard #Brexit is clear - Anna So... https://t.co/sXRCCx…,66367082,en,London,,2016-10-10 22:20:37.161439,2016-10-10 22:20:37
78,RT @SamCoatesTimes: Tonight's Times p1 reveals a leak of part of cabinet discussion paper on what would happen to the economy of Brexit… ,13701,en,London,,2016-10-10 22:20:37.894861,2016-10-10 22:20:37
79,RT @Change_Britain: RT if you agree that people who voted Leave and people who voted remain should work together now to make Brexit a succe…,216518762,en,London,,2016-10-10 22:20:39.022726,2016-10-10 22:20:38
80,RT @Palle_Hoffstein: The international equivalent of your partner wanting an open relationship when you pay all the rent. https://t.co/AnEh…,378243035,en,London,,2016-10-10 22:20:39.669559,2016-10-10 22:20:39
